index,proper_name,distance,mass,radius
0,Sun,0.000015813,1,1
1,Sirius,8.6,1.71,25.4
2,Canopus,310,71,"13,500"
3,Alpha Centauri,4.4,1.2,2
4,Arcturus,37,26,170
5,Vega,25,2.7,50
6,Capella,43,12,150
7,Rigel,860,78.9,"120,000"
8,Procyon,11.4,1.9,7.7
9,Betelgeuse,640,950,"60,000"
10,Achernar,144,9.3,"3,000"
11,Hadar,390,8.6,"42,000"
12,Altair,17,1.8,10.5
13,Acrux,320,8.9,"25,000"
14,Aldebaran,65,44,520
15,Antares,600,680,"75,000"
16,Spica,260,7.47,"20,512"
17,Pollux,34,8.8,43
18,Fomalhaut,25,1.8,16.6
19,Deneb,"2,600",203,"200,000"
20,Mimosa,350,8.4,"34,000"
21,Regulus,77,3.1,290
22,Adhara,430,14,"39,000"
23,Shaula,700,8.8,"36,000"
24,Castor,52,2.4,30
25,Gacrux,88,84,820
26,Bellatrix,240,5.8,"9,200"
27,Elnath,130,4.2,700
28,Miaplacidus,110,6.8,290
29,Alnilam,"2,000",42,"380,000"
30,Gamma Velorum,"1,100",6,"170,000"
31,Alnair,101,3.4,260
32,Alioth,81,4.2,110
33,Alnitak,1050,20,"120,000"
34,Dubhe,120,30,300
35,Mirfak,590,68,"5,000"
36,Wezen,"1,600",200,"82,000"
37,Sargas,270,26,"1,800"
38,Kaus Australis,140,6.8,360
39,Avior,630,130,"60,000"
40,Alkaid,104,3.4,"1,350"
41,Menkalinan,81,2.77,50
42,Atria,390,92,"5,500"
43,Alhena,109,3.3,120
44,Peacock,180,4.8,"2,200"
45,[2],80,2.9,90
46,Mirzam,500,10,"27,000"
47,Polaris,430,39,"2,500"
48,Alphard,180,50,780
49,Mintaka,1200,16.5,"190,000"
50,Scheat,196,95,"1,500"
51,Almaaz,653,140,"43,000"
52,Rasalgethi,360,280,"8,300"
53,Tau Ceti,11.9,0.893,0.52
54,Delta Pavonis,19.92,1.22,1.22
55,Ran,10.48,0.74,0.34
56,V382 Carinae,"8,900",485,"212,000"
57,Eta Carinae,"7,500",60–881,"5,000,000"
58,Delta Cephei,887,44.5,"2,000"
59,Mu Cephei,"6,000",972,"135,000"
60,Titawin,44.25,1.48,3.57
61,Rho Cassiopeiae,"8,154",636-981,"347,000 - 530,000"
62,P Cygni,"5,545",76,"610,000"
63,La Superba,"1,000",129 - 342,"2,472 - 5,800"
64,VV Cephei,"4,900","516 - 1,050","200,000"
65,61 Cygni,11.41,0.665,0.153
66,R Doradus,178,298,"4,350"
67,Polaris Australis,281,3.74,38
68,R Coronae Borealis,"4,566",85,"10,000"
69,54 Piscium,36.1,0.94,0.52
70,Mira,300,370,"9,000"
71,RW Cephei,"14,000","1,158","417,000"
72,Lacaille 8760,12.87,0.51,0.072
73,V838 Monocerotis,"19,896",380 - 750,"15,000"
74,HD 140283,190,1.4,3.83
75,II Pegasi,130,3.4,1.06
76,VY Canis Majoris,"3,900","1,420","178,000 - 270,000"
77,Pistol Star,"25,000",320,"1,700,000"
78,S Doradus,"169,000",380,"910,000"
79,UY Scuti,"5,100",755,"86,300 - 87,100"
80,Barnard's Star,5.98,0.20,0.0035
81,Luhman 16,6.52,?,?
82,Proxima Centauri,4.25,0.15,0.0017
83,KIC 8462852,"1,470",1.58,4.68
84,R136a1,"163,000",32,"8,710,000"
85,Melnick 42,"163,000",21.1,"3,600,000"
86,WR 102,"18,134",0.39,"282,000"
87,VFTS 352,"164,000",14.47,"330,000"
88,YBP 1194,"2,772",0.99,0.98
89,Gliese 1214,47.5,0.21,0.0033
90,NML Cygni,"5,251","1,640 - 2,770","229,000"
91,VB 10,18.72,0.10,0.0004
92,WOH G64,"163,000","1,540 - 1,730","340-589,000"
93,TRAPPIST-1,39.6,0.12,0.0005
94,2MASS J0523-1403,40.3,0.086,0.00013
95,WISE 0855−0714,7.27,?,?
96,Icarus,"14,400,000,000",?,"850,000"
97,SDSS J000013.54+255418.6 [de],46.1,2.1782751532505863e-50,1.573476850449917e-17
98,2MASS J00040288-6410358,192.0,8.622339148283577e-51,2.590674006296531e-17
99,2MASS J00242463-0158201,37.7,3.5850778563915914e-50,1.7324139060508614e-17
100,2MASS J00274197+0503417,236.0,1.4068027031410044e-50,2.2886936006555914e-17
101,2MASSW J0030300-145033,87.2,2.450559547406911e-50,1.5575831448903935e-17
102,2MASS J00332386-1521309 [de],131.0,1.3160412384222298e-50,2.2727998950946416e-17
103,2MASS J00345157+0523050,31.0,1.9059907590942638e-50,1.494008322649445e-17
104,2MASS 0036+1821,28.6,1.9059907590942638e-50,1.494008322649445e-17
105,2MASSW J0045214+163445,57.0,1.0437568442659061e-50,2.574780300737004e-17
106,WISEP J004701.06+680352.1 [fr],40.0,5.445687883126465e-51,2.0661817228136988e-17
107,2MASS J00501994-3322402 [de],34.0,1.8152292943754902e-50,1.494008322649445e-17
108,2MASS J00584253-0651239 [de],96.0,1.3160412384222298e-50,2.2727998950946416e-17
109,2MASSI J0103320+193536,70.0,2.3597980826881364e-50,1.5575831448903935e-17
110,SDSSp J010752.33+004156.1 [de],51.0,2.3597980826881364e-50,1.5575831448903935e-17
111,2MASSI J0117474-340325 [de],163.0,9.076146471877451e-51,2.574780300737004e-17
112,2MASS J01415823-4633574 [de],130.0,9.076146471877451e-51,2.5588865951774806e-17
113,SDSS J015141.69+124429.6,70.0,2.1328944208911993e-50,1.5416894393294425e-17
114,SDSS J020742.48+000056.2 [de],111.0,2.1328944208911993e-50,1.5416894393294425e-17
115,2MASS J02103857-3015313,101.0,6.807109853908084e-51,2.431736950695586e-17
116,2MASS J02340093-6442068,155.0,9.076146471877451e-51,2.574780300737004e-17
117,2MASS J02411151-0326587 [de],152.0,1.2252797737034557e-50,2.2410124839755932e-17
118,2MASS J02431371−2453298,35.0,1.4975641678597785e-50,1.573476850449917e-17
119,LP 771-21,53.0,3.5396971240322034e-50,1.716520200491336e-17
120,Teegarden's star,12.578,3.630458588750978e-50,2.0185006061337e-17
121,2MASS J02535980+3206373,184.0,2.9497476033601694e-50,3.01980405642079e-17
122,WISE J0254+0223,24.0,2.9497476033601694e-50,3.01980405642079e-17
123,DEN 0255-4700,16.2,3.630458588750978e-50,1.5416894393294425e-17
124,2MASS J03185403-3421292 [de],45.0,2.223655885609974e-50,1.5416894393294425e-17
125,2MASS J03205965+1854233,47.0,3.9935044476260763e-50,1.8277761394122817e-17
126,2MASS J03231002-4631237,192.0,1.0437568442659061e-50,2.638355122977955e-17
127,SDSS J032553.17+042540.1,59.0,2.0421329561724256e-50,1.5099020282089688e-17
128,2MASS J03264225-2102057 [de],80.0,8.168531824689698e-51,2.0661817228136988e-17
129,2MASS J03284265+2302051 [de],98.0,2.450559547406911e-50,1.5575831448903935e-17
130,2MASS J03341218-4953322,27.0,3.312793462235266e-50,1.6529453782503886e-17
131,LP 944-20,20.9,3.312793462235266e-50,2.2727998950946416e-17
132,2MASP J0345432+254023,88.0,3.3581741945946557e-50,1.6688390838113387e-17
133,Teide 1,380.0,2.4959402797662975e-50,6.007820701721105e-17
134,2MASS J03510004-0052452,48.0,4.628834700657494e-50,2.0185006061337e-17
135,2MASS J03552337+1133437,29.8,9.076146471877451e-51,2.0979691339341722e-17
136,2MASS J04151954−0935066,18.6,1.3614219707816169e-50,1.5099020282089688e-17
137,2MASS J04285096-2253227 [de],85.0,3.630458588750978e-50,1.7324139060508614e-17
138,2MASS J04351612-1606574,34.0,4.538073235938725e-50,2.0026069005727515e-17
139,2MASS J04362788-4114465,142.0,1.769848562016102e-50,3.1310599953417345e-17
140,2MASS J04390101-2353083 [de],29.5,2.1782751532505863e-50,1.5416894393294425e-17
141,2MASS J04433764+0002040,82.0,9.98376111906519e-51,2.8290795896993704e-17
142,2MASS J04455387-3048204 [de],42.0,2.904366871000784e-50,1.589370556010867e-17
143,2MASS J04510093-3402150 [de],69.0,3.267412729875881e-50,1.6529453782503886e-17
144,2MASS J05002100+0330501 [de],44.0,2.904366871000784e-50,1.589370556010867e-17
145,2MASS J05012406-0010452 [de],64.0,9.529953795471319e-51,2.1933313672941698e-17
146,2MASS J05160945-0445499 [de],73.0,2.1328944208911993e-50,1.5416894393294425e-17
147,2MASS J0523−1403,40.0,3.0858898004383325e-50,1.6052642615703904e-17
148,SDSS J053951.99-005902.0,41.62,2.768224673922622e-50,1.6052642615703904e-17
149,LSR 0602+3910 [de],34.6,1.2706605060628432e-50,2.2410124839755932e-17
150,2MASS J06085283-2753583,102.0,1.7244678296567147e-50,2.3999495395765378e-17
151,2MASS J06244595-4521548 [de],39.0,2.5413210121256855e-50,1.573476850449917e-17
152,2MASS J06411840-4322329 [de],65.0,3.0405090680789445e-50,1.6052642615703904e-17
153,DENIS-P J0652197-253450 [de],51.0,3.40355492695404e-50,1.6688390838113387e-17
154,2MASS J07075327-4900503,60.0,3.267412729875881e-50,1.6370516726908647e-17
155,UGPS J072227.51-054031.2,13.4,1.1798990413440677e-50,1.5575831448903935e-17
156,2MASSI J0727182+171001 [de],29.6,1.8606100267348767e-50,1.494008322649445e-17
157,2MASS J07290002-3954043 [de],25.8,1.6790870972973278e-50,1.494008322649445e-17
158,SDSS J074201.41+205520.5 [de],49.0,1.951371491453651e-50,1.494008322649445e-17
159,DENIS-P J0751164-253043 [de],55.0,3.222031997516492e-50,1.6370516726908647e-17
160,2MASS J07522390+1612157,60.0,3.0858898004383325e-50,3.194634817581257e-17
161,DENIS J081730.0-615520,16.1,1.9967522238130374e-50,1.494008322649445e-17
162,2MASS J08251968+2115521 [de],35.0,2.3597980826881364e-50,1.5575831448903935e-17
163,SDSSp J083008.12+482847.4 [de],43.0,2.1782751532505863e-50,1.573476850449917e-17
164,LHS 2021,55.0,3.9935044476260763e-50,1.8277761394122817e-17
165,SDSS J083048.80+012831.1 [de],77.0,2.0875136885318139e-50,1.5257957337699192e-17
166,2MASSI J0835425-081923 [de],23.53,2.8136054062820083e-50,1.589370556010867e-17
167,2MASSI J0847287-153237 [de],43.0,2.904366871000784e-50,1.589370556010867e-17
168,2MASS J08533619-0329321,27.6,3.494316391672814e-50,1.700626494930388e-17
169,2MASSI J0859254-194926 [de],50.0,2.269036617969362e-50,1.5575831448903935e-17
170,2MASSI J0937347+293142,20.0,1.9059907590942638e-50,1.494008322649445e-17
171,2MASS 0939−2448,17.4,1.4521834355003912e-50,1.5099020282089688e-17
172,2MASS J09490860-1545485 [de],59.0,2.223655885609974e-50,1.5257957337699192e-17
173,2MASS J10073369-4555147,46.0,1.9967522238130374e-50,1.494008322649445e-17
174,2MASSI J1010148-040649 [de],55.0,2.3144173503287456e-50,1.5575831448903935e-17
175,2MASS J10224821+5825453 [de],60.0,1.2252797737034557e-50,2.2410124839755932e-17
176,2MASSW J1036530-344138 [de],53.0,2.223655885609974e-50,1.5416894393294425e-17
177,2MASS J1047538+212423 [de],34.4,1.9059907590942638e-50,1.494008322649445e-17
178,DEN 1048-3956,13.15,3.494316391672814e-50,1.700626494930388e-17
179,Luhman 16B,6.516,1.951371491453651e-50,1.621157967129915e-17
180,Luhman 16A,6.516,1.8152292943754902e-50,1.6052642615703904e-17
181,DENIS-P J1058.7−1548,49.0,2.904366871000784e-50,1.589370556010867e-17
182,TWA 28,180.0,1.6337063649379399e-50,3.798595628865985e-17
183,Cha 110913-773444,163.0,3.6304585887509786e-51,2.86086700081842e-17
184,SDSS J111010.01+011613.1,63.0,4.084265912344854e-51,1.9708194894522782e-17
185,2MASS J11145133−2618235,18.2,1.4975641678597785e-50,1.5257957337699192e-17
186,TWA 26,137.0,1.3614219707816169e-50,3.4966152232236235e-17
187,2MASS J11544223-3400390 [de],129.0,1.6790870972973278e-50,2.3840558340155878e-17
188,2MASSW J1155395-372735 [de],31.0,2.904366871000784e-50,1.589370556010867e-17
189,2MASS J12074836-3900043,217.0,7.714724501095831e-51,2.7178236507784243e-17
190,2MASSI J1217110-031113 [de],36.0,1.9059907590942638e-50,1.494008322649445e-17
191,2M 1237+6526,45.6,1.8606100267348767e-50,1.494008322649445e-17
192,TWA 29,262.0,1.1345183089846814e-50,3.1787411120217324e-17
193,SDSSp J125453.90-012247.4 [de],38.0,2.1328944208911993e-50,1.5575831448903935e-17
194,Kelu-1A,61.0,2.8589861386413968e-50,1.5575831448903935e-17
195,Kelu-1B,61.0,2.6320824768444615e-50,1.5575831448903935e-17
196,2MASS J13204427+0409045,101.0,3.0405090680789445e-50,1.6052642615703904e-17
197,SDSSp J132629.82-003831.5 [de],65.0,2.3144173503287456e-50,1.5416894393294425e-17
198,SDSSp J134646.45-003150.4 [de],48.0,1.9967522238130374e-50,1.494008322649445e-17
199,2MASS J13595510-4034582,51.0,2.8589861386413968e-50,1.589370556010867e-17
200,ULAS J141623.94+134836.3,29.7,1.4521834355003912e-50,1.5257957337699192e-17
201,SDSS J141659.78+500626.4 [de],149.0,2.677463209203846e-50,1.573476850449917e-17
202,DENIS-P J142527.97-365023.4 [de],38.0,9.529953795471319e-51,2.0979691339341722e-17
203,LHS 2924,38.5,3.448935659313427e-50,1.684732789370863e-17
204,2MASS J14392837+1929150,47.0,3.267412729875881e-50,1.6370516726908647e-17
205,LSPM J1440+1339,72.0,4.175027377063627e-50,1.8913509616518048e-17
206,2MASS J14482563+1031590 [de],47.0,2.677463209203846e-50,1.573476850449917e-17
207,CFBDSIR 1458+10A,104.0,5.0372612918919877e-51,2.3840558340155878e-17
208,CFBDSIR 1458+10B,104.0,4.084265912344854e-51,2.0661817228136988e-17
209,TVLM 513-46546,35.1,3.40355492695404e-50,1.6688390838113387e-17
210,2MASS 1503+2525,20.7,1.9967522238130374e-50,1.494008322649445e-17
211,CFBDS J150411+102717,71.0,1.9967522238130374e-50,1.494008322649445e-17
212,2MASSW J1506544+132106 [de],46.0,3.1312705327977186e-50,1.621157967129915e-17
213,2MASS 1507−1627,23.9,2.7228439415632337e-50,1.573476850449917e-17
214,TVLM 868-110639,53.0,3.5850778563915914e-50,1.716520200491336e-17
215,2MASSW J1515008+484742 [de],34.0,2.586701744485072e-50,1.573476850449917e-17
216,2MASSI J1526140+204341 [de],67.0,2.450559547406911e-50,1.5575831448903935e-17
217,DENIS-P J153941.96-052042.4 [de],51.0,2.8589861386413968e-50,1.589370556010867e-17
218,2MASS J15462718-3325111 [de],37.0,1.9967522238130374e-50,1.494008322649445e-17
219,2MASSW J1552591+294849 [de],68.0,1.3614219707816169e-50,2.2727998950946416e-17
220,2MASSW J1555157-095605 [de],44.0,3.222031997516492e-50,1.6370516726908647e-17
221,2MASS J16150413+1340079 [de],48.0,1.9059907590942638e-50,1.494008322649445e-17
222,SDSSp J162414.37+002915.6 [de],36.0,1.951371491453651e-50,1.494008322649445e-17
223,2MASS J16262034+3925190 [de],110.0,3.222031997516492e-50,1.6370516726908647e-17
224,2MASSW J1632291+190441 [de],50.0,2.223655885609974e-50,1.5416894393294425e-17
225,WISEPA J164715.59+563208.2,28.0,1.8606100267348767e-50,1.494008322649445e-17
226,LSPM J1658+7027 [de],60.0,3.312793462235266e-50,1.6529453782503886e-17
227,2MASSI J1726000+153819,114.0,1.0891375766252934e-50,2.225118778414644e-17
228,SDSSp J175032.96+175903.9,90.0,2.1328944208911993e-50,1.5416894393294425e-17
229,2MASS J18283572-4849046,39.0,2.0421329561724256e-50,1.5099020282089688e-17
230,LSR J1835+3259,18.5,3.494316391672814e-50,1.700626494930388e-17
231,2MASSW J1841086+311727,138.0,3.0405090680789445e-50,1.6052642615703904e-17
232,2MASS J18432213+4040209,46.0,4.3565503065011745e-50,1.939032078333229e-17
233,2MASS J20004841-7523070,105.0,1.1345183089846814e-50,2.988016645300316e-17
234,SDSS J204749.61-071818.3,65.0,2.0875136885318139e-50,1.5257957337699192e-17
235,2MASSI J2057540-025230,47.0,3.176651265157106e-50,1.621157967129915e-17
236,2MASSI J2104149-103736,62.0,3.1312705327977186e-50,1.621157967129915e-17
237,PSO J318.5−22,80.0,2.9497476033601717e-51,2.431736950695586e-17
238,HB 2124-4228,113.0,4.2657888417823985e-50,1.9231383727722797e-17
239,2MASS J21392676+0220226,32.1,2.0875136885318139e-50,1.5257957337699192e-17
240,2MASS J21481628+4003593,26.3,2.4959402797662975e-50,1.573476850449917e-17
241,2MASSW J2206450-421721,93.0,9.98376111906519e-51,2.1138628394936983e-17
242,2MASSW J2208136+292121,154.0,1.2252797737034557e-50,2.2410124839755932e-17
243,2MASSW J2224438-015852,38.0,2.768224673922622e-50,1.573476850449917e-17
244,2MASS J22282889-4310262,35.0,1.9059907590942638e-50,1.494008322649445e-17
245,2MASS J22373255+3922398,64.0,3.312793462235266e-50,1.6529453782503886e-17
246,2MASSW J2244316+204343,56.0,5.445687883126465e-51,2.050288017254174e-17
247,2MASS J23224684-3133231,56.0,1.0891375766252934e-50,2.209225072855118e-17
248,2MASS J23225299-6151275,148.0,7.714724501095831e-51,2.5270991840570057e-17
249,2MASS J23515044-2537367,67.0,3.9935044476260763e-50,1.843669844971807e-17
250,2MASSI J2356547-155310,74.0,3.630458588750978e-50,1.7324139060508614e-17
251,WISE 0410+1502,20.0,2.722843941563234e-51,1.8595635505327572e-17
252,WISE 0458+6434A,35.9,6.807109853908084e-51,6.675356335245355e-17
253,WISE 0458+6434B,35.9,4.5380732359387254e-51,6.03960811284158e-17
254,WISE 1405+5534,25.3,1.3614219707816169e-50,1.3668586781693923e-17
